;CLASE;CELULA;FN;FP;VP;VN;P;R;E;NSR;FM;ER;NRM;JACC;DICE
0;1;normalSup1.jpg;250;0;549;43427;1.0;0.6871088861076345;0.9943472165694388;0.0;0.814540059347181;0.0;0.15644555694618273;0.6871088861076345;0.814540059347181
1;1;normalSup10.jpg;246;0;396;107114;1.0;0.616822429906542;0.9977170644790081;0.0;0.7630057803468209;0.0;0.19158878504672897;0.616822429906542;0.7630057803468209
2;1;normalSup11.jpg;270;0;430;85430;1.0;0.6142857142857143;0.9968652037617555;0.0;0.7610619469026549;0.0;0.19285714285714287;0.6142857142857143;0.7610619469026549
3;1;normalSup12.jpg;157;2;547;72122;0.9963570127504554;0.7769886363636364;0.9978167737683309;0.003656307129798903;0.8731045490822027;0.002840909090909091;0.11292613636363637;0.7747875354107648;0.8731045490822026
4;1;normalSup13.jpg;351;0;265;46340;1.0;0.4301948051948052;0.9925249169435216;0.0;0.6015891032917139;0.0;0.2849025974025974;0.4301948051948052;0.6015891032917139
5;1;normalSup14.jpg;173;0;579;115760;1.0;0.7699468085106383;0.9985151744026366;0.0;0.8700225394440271;0.0;0.11502659574468085;0.7699468085106383;0.8700225394440271
6;1;normalSup15.jpg;248;0;363;66673;1.0;0.5941080196399345;0.9963141311455919;0.0;0.7453798767967146;0.0;0.20294599018003273;0.5941080196399345;0.7453798767967146
7;1;normalSup16.jpg;0;13181;391;5859;0.02880931329207191;1.0;0.3216509700993258;33.710997442455245;0.05600515648499606;33.710997442455245;16.855498721227622;0.02880931329207191;0.05600515648499606
8;1;normalSup17.jpg;0;19831;502;9102;0.024688929326710275;1.0;0.3262782401902497;39.50398406374502;0.04818814494840413;39.50398406374502;19.75199203187251;0.024688929326710275;0.04818814494840413
9;1;normalSup18.jpg;293;0;166;44608;1.0;0.3616557734204793;0.993498568797568;0.0;0.5312;0.0;0.31917211328976036;0.3616557734204793;0.5312
10;1;normalSup19.jpg;240;0;313;67277;1.0;0.566003616636528;0.9964617425917736;0.0;0.7228637413394919;0.0;0.21699819168173598;0.566003616636528;0.7228637413394919
11;1;normalSup2.jpg;274;0;332;28122;1.0;0.5478547854785478;0.9904622667780563;0.0;0.7078891257995735;0.0;0.22607260726072606;0.5478547854785478;0.7078891257995735
12;1;normalSup20.jpg;270;0;303;32955;1.0;0.5287958115183246;0.9919470293486041;0.0;0.6917808219178081;0.0;0.2356020942408377;0.5287958115183246;0.6917808219178081
13;1;normalSup21.jpg;201;0;295;43446;1.0;0.594758064516129;0.9954257885394383;0.0;0.7458912768647281;0.0;0.20262096774193547;0.594758064516129;0.7458912768647281
14;1;normalSup22.jpg;218;0;123;36757;1.0;0.36070381231671556;0.9941236724351717;0.0;0.5301724137931034;0.0;0.3196480938416422;0.36070381231671556;0.5301724137931034
15;1;normalSup23.jpg;244;0;249;86695;1.0;0.5050709939148073;0.9972014497407901;0.0;0.6711590296495956;0.0;0.24746450304259635;0.5050709939148073;0.6711590296495956
16;1;normalSup24.jpg;176;2;479;132471;0.9958419958419958;0.7312977099236642;0.9986629409290307;0.0041753653444676405;0.8433098591549297;0.0030534351145038168;0.13587786259541987;0.7290715372907154;0.8433098591549296
17;1;normalSup25.jpg;204;33;272;97773;0.8918032786885246;0.5714285714285714;0.9975885716611383;0.1213235294117647;0.6965428937259922;0.06932773109243698;0.24894957983193278;0.5343811394891945;0.6965428937259923
