;CLASE;CELULA;FN;FP;VP;VN;P;R;E;NSR;FM;ER;NRM;JACC;DICE
0;1;normalSup1.jpg;733;413;9832;5406;0.9596876525134211;0.930619971604354;0.9300537109375;0.04200569568755085;0.9449303219605958;0.03909133932796971;0.054235683861807854;0.8956094006194206;0.9449303219605959
1;1;normalSup10.jpg;295;505;10086;5498;0.952318005854027;0.9715826991619304;0.951171875;0.05006940313305572;0.9618539004386801;0.04864656584144109;0.038531933339755325;0.9265111151938269;0.96185390043868
2;1;normalSup11.jpg;626;584;9777;5397;0.9436347842872309;0.9398250504662117;0.9261474609375;0.059732024138283726;0.9417260643421306;0.05613765260021148;0.058156301066999906;0.8898698461818513;0.9417260643421306
3;1;normalSup12.jpg;1206;330;12065;2783;0.9733763614360629;0.9091251601235777;0.90625;0.027351844177372565;0.9401542897218109;0.02486624971742898;0.05787054479692563;0.8870671274171017;0.9401542897218109
4;1;normalSup13.jpg;1756;163;11153;3312;0.9855956168257335;0.8639708730343172;0.88287353515625;0.01461490182013808;0.9207843137254903;0.012626849484855528;0.0743279882252692;0.8531976744186046;0.9207843137254901
5;1;normalSup14.jpg;877;783;10015;4709;0.9274865715873309;0.9194821887623944;0.898681640625;0.0781827259111333;0.9234670355002305;0.07188762394417922;0.0762027175908924;0.8578158458244112;0.9234670355002306
6;1;normalSup15.jpg;440;803;10060;5081;0.9260793519285648;0.9580952380952381;0.92413330078125;0.0798210735586481;0.9418152881149652;0.07647619047619048;0.05919047619047619;0.8900291957887286;0.9418152881149652
7;1;normalSup16.jpg;1521;248;9453;5162;0.9744356251932791;0.8613996719518863;0.89202880859375;0.026235057653654924;0.9144377267230955;0.022598870056497175;0.08059959905230546;0.8423632151131706;0.9144377267230955
8;1;normalSup17.jpg;1543;189;10676;3976;0.982604693971468;0.8737212537850888;0.894287109375;0.017703259647808167;0.9249696759660371;0.015467714215565921;0.07087323021523856;0.8604126370083817;0.924969675966037
9;1;normalSup18.jpg;962;233;11565;3624;0.9802508899813528;0.9232058753093318;0.92706298828125;0.02014699524427151;0.9508735868448099;0.018599824379340626;0.04769697453500439;0.9063479623824452;0.9508735868448099
10;1;normalSup19.jpg;353;2073;9508;4450;0.8209999136516708;0.9642024135483217;0.8519287109375;0.21802692469499368;0.8868575692565992;0.2102220870094311;0.12300983673055471;0.7967152673035026;0.8868575692565992
11;1;normalSup2.jpg;796;1114;9880;4594;0.8986720029106785;0.9254402397901836;0.8834228515625;0.11275303643724696;0.9118597138901708;0.10434619707755714;0.08945297864368679;0.8379983036471587;0.9118597138901707
12;1;normalSup20.jpg;259;90;10569;5466;0.9915564311849142;0.9760805319541929;0.97869873046875;0.008515469770082317;0.9837576208870481;0.008311784263021796;0.016115626154414482;0.9680344385418574;0.983757620887048
13;1;normalSup21.jpg;758;52;10407;5167;0.9950282053733627;0.9321092700403045;0.9505615234375;0.004996636879023734;0.9625416204217536;0.004657411553963278;0.036274070756829375;0.927788178657395;0.9625416204217535
14;1;normalSup22.jpg;592;348;10629;4815;0.9682973490024597;0.9472417788075929;0.942626953125;0.032740615297770254;0.9576538426885304;0.03101327867391498;0.041885749933161034;0.9187483792894805;0.9576538426885305
15;1;normalSup23.jpg;2195;430;9722;4037;0.9576438140267928;0.815809347990266;0.83978271484375;0.04422958239045464;0.8810548733517604;0.03608290677183855;0.11013677939078628;0.7873977484409168;0.8810548733517605
16;1;normalSup24.jpg;686;1236;9954;4508;0.8895442359249329;0.9355263157894737;0.8826904296875;0.12417118746232671;0.9119560238204306;0.11616541353383458;0.09031954887218045;0.8381609969686763;0.9119560238204306
17;1;normalSup25.jpg;2745;455;10481;2703;0.958394294074616;0.7924542567669741;0.8046875;0.04341188817860891;0.8675606323979802;0.034401935581430516;0.12097383940722818;0.7660989693735838;0.8675606323979803
18;1;normalSup26.jpg;755;1152;9647;4830;0.8933234558755441;0.9274178042684099;0.88360595703125;0.11941536228879444;0.9100514126692137;0.11074793308979043;0.09166506441069025;0.834948935433616;0.9100514126692136
