;CLASE;CELULA;FN;FP;VP;VN;P;R;E;NSR;FM;ER;NRM;JACC;DICE
0;1;normalSup1.jpg;250;0;549;43427;1.0;0.6871088861076345;0.9943472165694388;0.0;0.814540059347181;0.0;0.15644555694618273;0.6871088861076345;0.814540059347181
1;1;normalSup10.jpg;246;0;396;107114;1.0;0.616822429906542;0.9977170644790081;0.0;0.7630057803468209;0.0;0.19158878504672897;0.616822429906542;0.7630057803468209
2;1;normalSup11.jpg;270;0;430;85430;1.0;0.6142857142857143;0.9968652037617555;0.0;0.7610619469026549;0.0;0.19285714285714287;0.6142857142857143;0.7610619469026549
3;1;normalSup12.jpg;157;2;547;72122;0.9963570127504554;0.7769886363636364;0.9978167737683309;0.003656307129798903;0.8731045490822027;0.002840909090909091;0.11292613636363637;0.7747875354107648;0.8731045490822026
4;1;normalSup13.jpg;351;0;265;46340;1.0;0.4301948051948052;0.9925249169435216;0.0;0.6015891032917139;0.0;0.2849025974025974;0.4301948051948052;0.6015891032917139
5;1;normalSup14.jpg;173;0;579;115760;1.0;0.7699468085106383;0.9985151744026366;0.0;0.8700225394440271;0.0;0.11502659574468085;0.7699468085106383;0.8700225394440271
6;1;normalSup15.jpg;248;0;363;66673;1.0;0.5941080196399345;0.9963141311455919;0.0;0.7453798767967146;0.0;0.20294599018003273;0.5941080196399345;0.7453798767967146
7;1;normalSup16.jpg;10;592;381;18448;0.39157245632065774;0.9744245524296675;0.9690185785600329;1.5538057742782152;0.5586510263929618;1.514066496163683;0.7698209718670077;0.387589013224822;0.5586510263929619
8;1;normalSup17.jpg;502;570;0;28363;0.0;0.0;0.9635807711907594;;;1.1354581673306774;1.0677290836653386;0.0;0.0
9;1;normalSup18.jpg;155;7;304;44601;0.977491961414791;0.6623093681917211;0.9964053520314199;0.023026315789473683;0.7896103896103895;0.015250544662309368;0.1764705882352941;0.6523605150214592;0.7896103896103897
10;1;normalSup19.jpg;553;4737;0;62540;0.0;0.0;0.9220109096270087;;;8.566003616636529;4.783001808318264;0.0;0.0
11;1;normalSup2.jpg;274;0;332;28122;1.0;0.5478547854785478;0.9904622667780563;0.0;0.7078891257995735;0.0;0.22607260726072606;0.5478547854785478;0.7078891257995735
12;1;normalSup20.jpg;139;145;434;32810;0.7495682210708118;0.7574171029668412;0.9915294679074207;0.33410138248847926;0.7534722222222222;0.2530541012216405;0.24781849912739967;0.6044568245125348;0.7534722222222222
13;1;normalSup21.jpg;29;619;467;42827;0.4300184162062615;0.9415322580645161;0.985253288425652;1.3254817987152034;0.5903919089759797;1.247983870967742;0.6532258064516129;0.4188340807174888;0.5903919089759797
14;1;normalSup22.jpg;341;102;0;36655;0.0;0.0;0.9880586554531242;;;0.2991202346041056;0.6495601173020528;0.0;0.0
15;1;normalSup23.jpg;244;0;249;86695;1.0;0.5050709939148073;0.9972014497407901;0.0;0.6711590296495956;0.0;0.24746450304259635;0.5050709939148073;0.6711590296495956
16;1;normalSup24.jpg;176;2;479;132471;0.9958419958419958;0.7312977099236642;0.9986629409290307;0.0041753653444676405;0.8433098591549297;0.0030534351145038168;0.13587786259541987;0.7290715372907154;0.8433098591549296
17;1;normalSup25.jpg;204;33;272;97773;0.8918032786885246;0.5714285714285714;0.9975885716611383;0.1213235294117647;0.6965428937259922;0.06932773109243698;0.24894957983193278;0.5343811394891945;0.6965428937259923
