;CLASE;CELULA;FN;FP;VP;VN;P;R;E;NSR;FM;ER;NRM;JACC;DICE
0;1;normalSup1.jpg;10;32;280;16062;0.8974358974358975;0.9655172413793104;0.9974365234375;0.11428571428571428;0.9302325581395349;0.1103448275862069;0.07241379310344828;0.8695652173913043;0.9302325581395349
1;1;normalSup10.jpg;0;34;97;16253;0.7404580152671756;1.0;0.9979248046875;0.35051546391752575;0.8508771929824561;0.35051546391752575;0.17525773195876287;0.7404580152671756;0.8508771929824561
2;1;normalSup11.jpg;24;7;110;16243;0.9401709401709402;0.8208955223880597;0.99810791015625;0.06363636363636363;0.8764940239043824;0.05223880597014925;0.11567164179104478;0.7801418439716312;0.8764940239043825
3;1;normalSup12.jpg;3;25;154;16202;0.8603351955307262;0.9808917197452229;0.998291015625;0.16233766233766234;0.9166666666666666;0.1592356687898089;0.08917197452229299;0.8461538461538461;0.9166666666666666
4;1;normalSup13.jpg;18;7;186;16173;0.9637305699481865;0.9117647058823529;0.99847412109375;0.03763440860215054;0.9370277078085643;0.03431372549019608;0.06127450980392157;0.8815165876777251;0.9370277078085643
5;1;normalSup14.jpg;10;8;98;16268;0.9245283018867925;0.9074074074074074;0.9989013671875;0.08163265306122448;0.9158878504672898;0.07407407407407407;0.08333333333333333;0.8448275862068966;0.9158878504672897
6;1;normalSup15.jpg;1;36;148;16199;0.8043478260869565;0.9932885906040269;0.99774169921875;0.24324324324324326;0.888888888888889;0.24161073825503357;0.12416107382550336;0.8;0.888888888888889
7;1;normalSup16.jpg;0;310;328;15746;0.5141065830721003;1.0;0.9810791015625;0.9451219512195121;0.6790890269151139;0.9451219512195121;0.4725609756097561;0.5141065830721003;0.6790890269151139
8;1;normalSup17.jpg;17;355;263;15749;0.4255663430420712;0.9392857142857143;0.977294921875;1.349809885931559;0.5857461024498887;1.2678571428571428;0.6642857142857143;0.4141732283464567;0.5857461024498887
9;1;normalSup18.jpg;6;51;155;16172;0.7524271844660194;0.9627329192546584;0.99652099609375;0.32903225806451614;0.8446866485013624;0.3167701863354037;0.17701863354037267;0.7311320754716981;0.8446866485013624
10;1;normalSup19.jpg;5;100;129;16150;0.5633187772925764;0.9626865671641791;0.99359130859375;0.7751937984496124;0.7107438016528925;0.746268656716418;0.3917910447761194;0.5512820512820513;0.7107438016528926
11;1;normalSup2.jpg;2;80;336;15966;0.8076923076923077;0.9940828402366864;0.9949951171875;0.23809523809523808;0.8912466843501327;0.23668639053254437;0.12130177514792899;0.8038277511961722;0.8912466843501327
12;1;normalSup20.jpg;3;96;277;16008;0.7426273458445041;0.9892857142857143;0.99395751953125;0.34657039711191334;0.8483920367534458;0.34285714285714286;0.1767857142857143;0.7367021276595744;0.8483920367534457
13;1;normalSup21.jpg;0;121;184;16079;0.6032786885245902;1.0;0.99261474609375;0.657608695652174;0.7525562372188139;0.657608695652174;0.328804347826087;0.6032786885245902;0.7525562372188139
14;1;normalSup22.jpg;0;75;149;16160;0.6651785714285714;1.0;0.99542236328125;0.5033557046979866;0.7989276139410187;0.5033557046979866;0.2516778523489933;0.6651785714285714;0.7989276139410187
15;1;normalSup23.jpg;2;35;88;16259;0.7154471544715447;0.9777777777777777;0.99774169921875;0.3977272727272727;0.8262910798122065;0.3888888888888889;0.20555555555555555;0.704;0.8262910798122065
16;1;normalSup24.jpg;4;74;71;16235;0.4896551724137931;0.9466666666666667;0.9952392578125;1.0422535211267605;0.6454545454545454;0.9866666666666667;0.52;0.47651006711409394;0.6454545454545454
17;1;normalSup25.jpg;0;291;81;16012;0.21774193548387097;1.0;0.98223876953125;3.5925925925925926;0.3576158940397351;3.5925925925925926;1.7962962962962963;0.21774193548387097;0.3576158940397351
18;1;normalSup26.jpg;16;8;185;16175;0.9585492227979274;0.9203980099502488;0.99853515625;0.043243243243243246;0.9390862944162437;0.03980099502487562;0.05970149253731343;0.8851674641148325;0.9390862944162437
19;1;normalSup27.jpg;0;237;109;16038;0.315028901734104;1.0;0.98553466796875;2.1743119266055047;0.4791208791208791;2.1743119266055047;1.0871559633027523;0.315028901734104;0.4791208791208791
20;1;normalSup28.jpg;0;163;55;16166;0.25229357798165136;1.0;0.99005126953125;2.963636363636364;0.40293040293040294;2.963636363636364;1.481818181818182;0.25229357798165136;0.40293040293040294
21;1;normalSup29.jpg;0;287;59;16038;0.17052023121387283;1.0;0.98248291015625;4.864406779661017;0.2913580246913581;4.864406779661017;2.4322033898305087;0.17052023121387283;0.2913580246913581
22;1;normalSup3.jpg;26;1;134;16223;0.9925925925925926;0.8375;0.99835205078125;0.007462686567164179;0.9084745762711864;0.00625;0.084375;0.8322981366459627;0.9084745762711864
23;1;normalSup30.jpg;0;55;66;16263;0.5454545454545454;1.0;0.99664306640625;0.8333333333333334;0.7058823529411764;0.8333333333333334;0.4166666666666667;0.5454545454545454;0.7058823529411764
24;1;normalSup31.jpg;8;23;60;16293;0.7228915662650602;0.8823529411764706;0.99810791015625;0.38333333333333336;0.7947019867549668;0.3382352941176471;0.22794117647058826;0.6593406593406593;0.794701986754967
25;1;normalSup32.jpg;0;59;73;16252;0.553030303030303;1.0;0.99639892578125;0.8082191780821918;0.7121951219512195;0.8082191780821918;0.4041095890410959;0.553030303030303;0.7121951219512195
26;1;normalSup33.jpg;0;218;76;16090;0.2585034013605442;1.0;0.9866943359375;2.8684210526315788;0.4108108108108108;2.8684210526315788;1.4342105263157894;0.2585034013605442;0.4108108108108108
